filename,alt_text,caption,source_credit,source_year,license_note,rights_status,people_shown,is_placeholder
image1.jpeg,,"Gambar dari S3 — isi belum diperiksa","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image10.png,,"Gambar dari S3 — isi belum diperiksa","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image11.png,,"Gambar dari S3 — isi belum diperiksa","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image12.png,,"Potret dari halaman perangkat S3 — pasangan foto dan nama BELUM diverifikasi","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image13.png,,"Potret dari halaman perangkat S3 — pasangan foto dan nama BELUM diverifikasi","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image14.png,,"Potret dari halaman perangkat S3 — pasangan foto dan nama BELUM diverifikasi","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image15.png,,"Potret dari halaman perangkat S3 — pasangan foto dan nama BELUM diverifikasi","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image16.png,,"Potret dari halaman perangkat S3 — pasangan foto dan nama BELUM diverifikasi","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image17.png,,"Potret dari halaman perangkat S3 — pasangan foto dan nama BELUM diverifikasi","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image18.png,,"Potret dari halaman perangkat S3 — pasangan foto dan nama BELUM diverifikasi","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image19.png,,"Potret dari halaman perangkat S3 — pasangan foto dan nama BELUM diverifikasi","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image2.png,,"Potret dari halaman perangkat S3 — pasangan foto dan nama BELUM diverifikasi","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image20.png,,"Potret dari halaman perangkat S3 — pasangan foto dan nama BELUM diverifikasi","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image21.png,,"Potret dari halaman perangkat S3 — pasangan foto dan nama BELUM diverifikasi","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image22.png,,"Potret dari halaman perangkat S3 — pasangan foto dan nama BELUM diverifikasi","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image23.png,,"Potret dari halaman perangkat S3 — pasangan foto dan nama BELUM diverifikasi","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image24.jpeg,,"Gambar dari S3 — isi belum diperiksa","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image25.png,,"Potret dari halaman perangkat S3 — pasangan foto dan nama BELUM diverifikasi","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image26.png,,"Potret dari halaman perangkat S3 — pasangan foto dan nama BELUM diverifikasi","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image27.jpeg,,"Gambar peta beresolusi tinggi dari S3 — perlu dicocokkan dengan nama dusun resmi","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image28.jpeg,,"Gambar peta beresolusi tinggi dari S3 — perlu dicocokkan dengan nama dusun resmi","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image29.jpeg,,"Gambar peta beresolusi tinggi dari S3 — perlu dicocokkan dengan nama dusun resmi","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image3.png,,"Potret dari halaman perangkat S3 — pasangan foto dan nama BELUM diverifikasi","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image30.jpeg,,"Gambar peta beresolusi tinggi dari S3 — perlu dicocokkan dengan nama dusun resmi","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image31.jpeg,,"Potret dari halaman perangkat S3 — pasangan foto dan nama BELUM diverifikasi","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image4.png,,"Potret dari halaman perangkat S3 — pasangan foto dan nama BELUM diverifikasi","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image5.png,,"Potret dari halaman perangkat S3 — pasangan foto dan nama BELUM diverifikasi","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image6.png,,"Potret dari halaman perangkat S3 — pasangan foto dan nama BELUM diverifikasi","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image7.png,,"Potret dari halaman perangkat S3 — pasangan foto dan nama BELUM diverifikasi","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image8.png,,"Potret dari halaman perangkat S3 — pasangan foto dan nama BELUM diverifikasi","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
image9.png,,"Potret dari halaman perangkat S3 — pasangan foto dan nama BELUM diverifikasi","Dokumen S3 Profil Desa Cihawuk 2023",2023,"Diekstrak dari dokumen sumber desa. Status hak dan subjek foto belum diverifikasi.",unknown,,1
