filename,alt_text,caption,source_credit,source_year,license_note,rights_status,people_shown,is_placeholder
avatar-p-01.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-p-02.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-p-03.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-p-04.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-p-05.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-p-06.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-p-07.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-p-08.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-p-09.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-p-10.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
